max_tmp,min_tmp,range,hum,wind,label
18.9,10.5,8.399999999999999,66.4,5.4,5
21.8,10.2,11.600000000000001,44.3,6.5,9
25.4,12.4,12.999999999999998,35.4,4.3,9
20.2,14.1,6.1,78.4,5.3,7
20.3,15.0,5.300000000000001,90.3,3.3,7
24.9,14.6,10.299999999999999,80.1,4.3,9
26.8,13.2,13.600000000000001,76.4,7.2,9
17.1,10.1,7.000000000000002,70.6,7.2,5
20.1,9.2,10.900000000000002,60.4,3.0,9
22.9,10.9,11.999999999999998,56.1,3.3,9
22.7,14.8,7.899999999999999,68.5,4.9,6
25.0,16.6,8.399999999999999,66.1,4.7,7
20.2,14.3,5.899999999999999,81.8,6.5,7
21.3,13.7,7.600000000000001,81.0,3.8,7
22.9,12.7,10.2,78.9,5.4,9
23.9,11.8,12.099999999999998,65.5,5.9,9
23.4,14.2,9.2,62.8,3.9,7
27.6,14.6,13.000000000000002,65.6,4.1,9
30.0,16.5,13.5,57.3,4.3,9
28.0,17.6,10.399999999999999,60.0,5.7,9
24.5,16.6,7.899999999999999,61.3,6.2,7
21.8,14.8,7.0,71.0,4.1,6
28.4,17.6,10.799999999999997,70.3,5.6,9
26.5,19.7,6.800000000000001,81.1,4.7,8
28.7,18.4,10.3,69.4,3.8,9
30.9,19.2,11.7,63.6,4.4,9
29.2,19.2,10.0,66.4,5.1,9
32.0,19.8,12.2,60.6,5.5,9
32.8,20.3,12.499999999999996,51.6,4.3,9
32.1,22.5,9.600000000000001,60.8,6.2,8
31.6,21.7,9.900000000000002,68.3,4.6,8
27.6,21.6,6.0,68.6,3.0,7
33.5,20.6,12.899999999999999,52.8,5.0,9
28.8,20.1,8.7,67.6,5.9,8
28.6,18.2,10.400000000000002,59.3,6.3,9
30.7,20.0,10.7,63.0,4.4,9
30.3,20.2,10.100000000000001,58.6,4.3,9
27.3,20.3,7.0,61.4,3.4,7
30.0,21.1,8.899999999999999,61.4,4.2,8
29.7,20.7,9.0,62.6,4.6,8
32.7,19.5,13.200000000000003,59.5,4.5,9
35.4,21.7,13.7,50.5,4.1,9
31.0,23.2,7.800000000000001,53.5,3.7,8
26.3,19.9,6.400000000000002,80.5,5.7,8
23.4,20.1,3.299999999999997,91.0,4.3,8
25.7,19.2,6.5,79.1,5.3,8
29.6,20.4,9.200000000000003,67.4,5.4,8
30.1,21.5,8.600000000000001,70.5,4.7,8
26.5,20.6,5.899999999999999,74.0,5.9,7
23.1,18.4,4.700000000000003,80.0,7.6,8
24.3,18.1,6.199999999999999,79.3,3.7,8
29.8,20.4,9.400000000000002,74.5,3.4,8
30.6,21.6,9.0,60.5,6.1,8
29.5,20.4,9.100000000000001,63.9,4.4,8
27.6,19.9,7.700000000000003,68.6,3.5,7
30.9,21.8,9.099999999999998,66.6,4.7,8
28.1,22.1,6.0,75.5,4.0,8
30.4,21.3,9.099999999999998,71.9,3.7,8
32.9,21.8,11.099999999999998,64.6,3.6,9
27.7,22.7,5.0,72.0,6.6,7
30.2,22.2,8.0,62.6,5.0,8
26.0,21.7,4.300000000000001,71.9,3.6,7
21.7,17.7,4.0,91.8,5.9,7
24.3,17.2,7.100000000000001,79.4,4.4,8
28.7,18.9,9.8,63.1,3.4,8
29.7,20.4,9.3,70.9,3.5,8
31.6,21.5,10.100000000000001,69.0,5.6,9
31.0,22.8,8.2,71.6,4.0,8
26.6,20.6,6.0,81.6,4.3,8
26.6,22.4,4.200000000000003,83.3,7.0,8
30.5,21.4,9.100000000000001,77.0,4.2,8
25.7,22.6,3.099999999999998,89.3,3.4,8
